alpha,chi,q,initial,final,status,omega_res_M,separation_M,tidal_strength,r_99_over_b,landau_zener_z,depletion_probability,numerical_error,systematic_error,message,hydrogenic_kernel_M_real,hydrogenic_kernel_M_imag,hydrogenic_kernel_M_abs,semirelativistic_kernel_M_real,semirelativistic_kernel_M_imag,semirelativistic_kernel_M_abs,covariant_kernel_M_real,covariant_kernel_M_imag,covariant_kernel_M_abs,eta_M_real,eta_M_imag,eta_M_abs
0.15,0.5491343012133714,0.0001,21+1,21-1,ok,6.025352940058903e-07,14018.218177328108,3.630124792748373e-17,0.03599427710480166,0.13674556647146344,0.5764982929465852,3.461568510569928e-08,140.26539546271886,covariant adiabatic IRG tide; global binary effects excluded,2666.666666666654,-0.0,2666.666666666654,0.03200574905709537,2495.9166646343056,2495.9166648395144,-1.5273047138262414,2493.6065627202856,2493.6070304483355,-5.544306707742097e-17,9.052103006690958e-14,9.052104704602149e-14
0.15,,,32+2,32+0,mode_not_converged,,,,,,,,,CF saturation branch failed for 32+2: residual=5.424e-05,,,,,,,,,,,,
0.15,,,32+2,30+0,mode_not_converged,,,,,,,,,CF saturation branch failed for 32+2: residual=5.424e-05,,,,,,,,,,,,
0.15,0.1978827283895547,0.0001,43+3,43+1,ok,1.703196722546707e-09,701193.5845630832,2.9005890167921656e-22,0.002196079806132419,0.5743228332376629,0.972909625193482,2.506978582191485e-07,764.4661048839102,covariant adiabatic IRG tide; global binary effects excluded,13770.607453181849,-0.0,13770.607453181849,4.359228501068544e-12,-13588.526157576638,13588.526157576638,0.07595714775539734,-13590.508531057256,13590.508531269517,2.2032046852616523e-23,-3.942047977780491e-18,3.942047977842059e-18
0.15,0.1978827283895547,0.0001,43+3,41+1,tidal_expansion_invalid,7.136308373817402e-07,12522.721921095657,5.09218050257138e-17,0.14431279761418397,26.061499562941517,1.0,5.1940086007595755e-06,1882.543820504207,covariant adiabatic IRG tide; global binary effects excluded,-33730.9617084625,0.0,33730.9617084625,-0.011485890264436653,33483.10080889925,33483.100808901225,-94.78405165766866,33467.311477354466,33467.44569785257,-4.8265749980589886e-15,1.704215909784678e-12,1.7042227445347128e-12
0.175,0.62167828051175,0.0001,21+1,21-1,ok,1.82597447136168e-06,6693.984074398667,3.3338493851260543e-16,0.05494516336548046,0.07449035747125966,0.3737694716928599,1.20657461677579e-08,117.13467761391563,covariant adiabatic IRG tide; global binary effects excluded,1679.3002915451843,-0.0,1679.3002915451843,0.08418878450954428,1531.839454774481,1531.8394570879582,-2.042055189095877,1529.9209570437936,1529.9223198552247,-6.807904436560758e-16,5.100526041931916e-13,5.100530585339968e-13
0.175,,,32+2,32+0,mode_not_converged,,,,,,,,,CF saturation branch failed for 32+2: residual=8.626e-05,,,,,,,,,,,,
0.175,,,32+2,30+0,mode_not_converged,,,,,,,,,CF saturation branch failed for 32+2: residual=8.626e-05,,,,,,,,,,,,
0.175,,,43+3,43+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=2.136e-04,,,,,,,,,,,,
0.175,,,43+3,41+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=2.136e-04,,,,,,,,,,,,
0.2,0.6870453082262965,0.0001,21+1,21-1,ok,4.842720616266005e-06,3493.720830819603,2.344959800740706e-15,0.07987214160182067,0.04344034131836228,0.23886437253304096,4.865533518365201e-09,99.30402390537712,covariant adiabatic IRG tide; global binary effects excluded,1124.9999999999955,-0.0,1124.9999999999955,0.20552364864097986,994.6578666087482,994.6578878421649,-2.5888327095803048,993.0368645348332,993.0402390537711,-6.070708634808453e-15,2.3286315279877776e-12,2.328639441099034e-12
0.2,0.3838141716843805,0.0001,32+2,32+0,ok,1.289975702090107e-07,39170.59084112058,1.6638709248903755e-18,0.013738190449230674,0.09131709758043097,0.4365982096650783,3.80581246297465e-09,263.45974246544296,covariant adiabatic IRG tide; global binary effects excluded,2755.675960631063,-0.0,2755.675960631063,3.5965637323757236e-07,2634.4927207882315,2634.4927207882315,-0.385278725054903,2634.5973964832,2634.5974246544292,-6.410540685976862e-19,4.3836300068002774e-15,4.383630053673567e-15
0.2,0.3838141716843805,0.0001,32+2,30+0,tidal_expansion_invalid,2.52328980794303e-05,1162.4377899420338,6.366354819387235e-14,0.48731085927140766,1.5617545747263313,0.9999452532962928,2.2599630895327674e-05,452.21712649791743,covariant adiabatic IRG tide; global binary effects excluded,-4871.392896287439,0.0,4871.392896287439,272.9069830896429,4573.368782699576,4581.504146455625,124.94576111673797,4520.444835033638,4522.171264979173,7.95449048447551e-12,2.877875576129053e-10,2.8789746826894627e-10
0.2,0.2616901964540883,0.0001,43+3,43+1,ok,1.2809046601169882e-08,182671.13980831098,1.6405526930401132e-20,0.004724894464029684,0.19619555136469313,0.70850516897123,3.5015288412928064e-08,567.4926553952763,covariant adiabatic IRG tide; global binary effects excluded,5809.475019311098,-0.0,5809.475019311098,-1.2171755658040562e-12,5673.410226716342,5673.410226716342,-0.13430627783930157,5674.926552363474,5674.926553952761,-2.2033652580145986e-21,9.310016038284742e-17,9.310016040892052e-17
0.2,0.2616901964540883,0.0001,43+3,41+1,tidal_expansion_invalid,3.1403250196071486e-06,4663.350690245217,9.860655163254314e-16,0.2151046540947901,7.4992777133260535,1.0,1.9207572451973585e-07,1402.4339611916262,covariant adiabatic IRG tide; global binary effects excluded,-14230.24947075763,0.0,14230.24947075763,-0.04397966668259547,14036.94188017444,14036.941880243336,-97.5924352169069,14024.000045170847,14024.339611916259,-9.623253502161552e-14,1.3828582845489265e-11,1.3828917680547406e-11
0.22499999999999998,0.7451164771598099,0.0001,21+1,21-1,tidal_expansion_invalid,1.1657759158803516e-05,1945.0812908386038,1.358897596287044e-14,0.11219306167458337,0.026603686635374664,0.15393229496354802,2.7024265488188294e-09,84.95884086527458,covariant adiabatic IRG tide; global binary effects excluded,790.12345679012,-0.0,790.12345679012,-0.4725275934629911,-672.6692256576849,672.6693916250657,3.10551682438943,-671.2725467857334,671.2797302935277,4.2200793478917703e-14,-9.121906502806154e-12,9.122004119320899e-12
0.22499999999999998,0.4272064440933289,0.0001,32+2,32+0,ok,2.960116765454712e-07,22515.170874612963,8.761415123613708e-18,0.01880901808959031,0.05798774570289577,0.30535041290652987,1.4749396326483274e-09,231.36099971578005,covariant adiabatic IRG tide; global binary effects excluded,1935.3993029397864,-0.0,1935.3993029397864,1.1544496043098314e-06,1827.9186333378957,1827.9186333378957,-0.48515951845906546,1828.0374642380582,1828.0375286185094,-4.2506839423924e-18,1.6016195085707776e-14,1.6016195649771637e-14
0.22499999999999998,0.4272064440933289,0.0001,32+2,30+0,tidal_expansion_invalid,3.707986412618269e-05,899.3368449170182,1.3747788457315972e-13,0.48987449824266477,0.865168285960519,0.9956431792029403,2.8141523097469414e-06,399.51594754686977,covariant adiabatic IRG tide; global binary effects excluded,-3421.3349285310956,0.0,3421.3349285310956,276.64807231521263,3206.5533283453096,3218.4652248297025,152.25078569881,3152.995438048031,3156.669215185145,2.0931115942473876e-11,4.3346714289166634e-10,4.3397220600087003e-10
0.22499999999999998,,,43+3,43+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=4.533e-04,,,,,,,,,,,,
0.22499999999999998,,,43+3,41+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=4.533e-04,,,,,,,,,,,,
