alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message
0.32499999999999996,0.41263333480065467,41+1,0.3238182707138666,-1.5478299089094568e-06,2.0000261094900895,3.41358406528057e-08,1.0000000000015201,-1.4248174025475633e-12,358.1843420013019,1.1759286561945984e-13,1.7531216949759769e-12,4.8578441849172893e-17,True,ok
0.35,0.9338374008792341,21+1,0.34390473638514685,1.3968237265416265e-17,2.000737612481191,-1.6753635288272081e-18,0.9999999999999999,-1.9001474193496308e-16,83.90648486441604,3.022847719047665e-14,1.1603466189608576e-12,8.797158443596205e-17,True,ok
0.35,0.9338374008792341,21-1,0.34320281905727085,-0.0003596778991878993,2.0008217371532706,4.305122808441098e-05,1.0000000000000007,4.528712474471952e-16,76.11764079486532,1.0131027993141359e-15,2.494438354798561e-11,8.796899024409846e-17,True,ok
0.35,0.6201272777429633,32+2,0.3475073437059239,5.224449210550177e-18,6.000095514842329,-1.9947580351682395e-19,0.9999999999999999,-2.8807323279877927e-16,170.38162762818538,3.6792162100414415e-13,3.0939649732177565e-13,7.364547971605321e-17,True,ok
0.35,0.6201272777429633,32+0,0.34749361659107036,-4.4435331603081087e-10,6.000352150624279,6.220877186976256e-11,0.9999999996205186,-2.200525904829209e-09,169.4630301623873,4.7756210047691353e-14,1.0697041504834186e-12,8.034182370558863e-17,True,ok
0.35,0.6201272777429633,32+2,0.3475073437059239,5.224449210550177e-18,6.000095514842329,-1.9947580351682395e-19,0.9999999999999999,-2.8807323279877927e-16,170.38162762818538,3.6792162100414415e-13,3.0939649732177565e-13,7.364547971605321e-17,True,ok
0.35,0.6201272777429633,30+0,0.33330780715827785,-0.0172043896789791,0.001500006792165586,0.0014695400924243855,1.0000000000001408,-9.525713551283843e-14,36.260450223486586,5.871077510169344e-16,1.9932931809595645e-10,5.405859402156642e-17,True,ok
0.35,0.4410151180265482,43+3,0.34862861160960706,1.0431832290089908e-17,12.000020704776889,-1.5718699464024757e-19,0.9999999999999999,-3.635132449302147e-17,277.20316840022406,4.182605571206773e-12,2.836947203448673e-13,8.008791815157959e-17,True,ok
0.35,0.4410151180265482,43+1,0.34862729806706916,-2.7130208120784494e-18,12.000087043384417,1.7169542397999166e-19,1.0000000000000002,-1.5501950470522072e-15,276.9323492825246,3.136593370332171e-11,1.309251925652352e-12,6.614040341720346e-17,True,ok
0.35,0.4410151180265482,43+3,0.34862861160960706,1.0431832290089908e-17,12.000020704776889,-1.5718699464024757e-19,0.9999999999999999,-3.635132449302147e-17,277.20316840022406,4.182605571206773e-12,2.836947203448673e-13,8.008791815157959e-17,True,ok
0.35,0.4410151180265482,41+1,0.34849395838965963,-4.513435964921567e-06,2.0000409198989844,1.2236731271578087e-07,0.9999999999992646,9.048013057647193e-13,303.2162283903128,1.0187847300908695e-13,2.1861309208415048e-12,5.190193249554557e-17,True,ok
0.375,0.9542898557486135,21+1,0.36735028199173214,-1.4345350944878642e-17,2.001034173921682,1.919152552473874e-18,0.9999999999999998,-1.2642929130572177e-19,71.68391364202603,1.8399843176370807e-14,1.4915975929274548e-12,8.187648595460554e-17,True,ok
0.375,0.9542898557486135,21-1,0.36629098509512614,-0.0008225766063447506,2.001175806952774,0.00010972522175058579,0.9999999999999997,5.65303012733942e-16,63.88377652103543,9.811467295305649e-17,6.085652578738874e-11,5.194347827819308e-17,True,ok
0.375,0.6534438016821429,32+2,0.37191410807409336,-7.287028154601005e-19,6.0001405930994265,3.306206013753587e-20,1.0,-1.0468863746554813e-16,147.43025243158658,1.3286663835934435e-14,2.2802505312881214e-13,6.002356655552071e-17,True,ok
0.375,0.6534438016821429,32+0,0.37189150734301785,-1.6020440245713629e-09,6.000519284769709,2.665184400552013e-10,0.9999999985317094,-2.900979209446284e-09,146.37267507542177,1.720981360025329e-14,1.6060936375830997e-12,6.159642599414566e-17,True,ok
0.375,0.6534438016821429,32+2,0.37191410807409336,-7.287028154601005e-19,6.0001405930994265,3.306206013753587e-20,1.0,-1.0468863746554813e-16,147.43025243158658,1.3286663835934435e-14,2.2802505312881214e-13,6.002356655552071e-17,True,ok
0.375,0.6534438016821429,30+0,0.35672260116611526,-0.021462408880290346,0.0019691921248025917,0.0021782426270882203,1.000000000000505,1.0340617251358708e-12,33.32005478431974,6.387330433741625e-16,3.770782793216833e-10,5.467304785607634e-17,True,ok
0.4,0.9702136571099393,21+1,0.3905063461684983,-7.11545497335539e-17,2.001412646172406,1.0458882746146476e-17,1.0000000000000002,2.0457424170581015e-17,61.65352644183308,4.612837609601222e-14,3.588386837701274e-12,5.1952159849113506e-17,True,ok
0.4,0.9702136571099393,21-1,0.3891112965731497,-0.0016151059383418323,2.0016178283204864,0.00023654240451362126,1.0,-1.8865117801247777e-16,54.56735399018787,1.4700400346924369e-15,1.932514524896293e-10,5.3982577321675535e-17,True,ok
0.4,0.684926173634467,32+2,0.39622887379271216,-1.078659618622624e-18,6.000201228806568,5.728400515730994e-20,1.0000000000000002,-1.7220239082112429e-16,128.65841128579066,8.880098898121735e-14,2.986263918460831e-13,9.120968922522465e-17,True,ok
0.4,0.684926173634467,32+0,0.39619271364903713,-5.495849158298513e-09,6.000744914834046,1.070178278128689e-09,1.0000000007686847,8.018030213102765e-10,127.44762831327844,1.249001806427725e-14,1.2732893186950873e-12,5.583459999255066e-17,True,ok
