alpha,chi,initial,final,q,eta_abs_M,landau_zener_z,depletion_probability
0.125,0.1654372948396467,43+3,43+1,0.0023713737056616554,1.2566055280454495e-17,26.676409638231803,1.0
0.125,0.1654372948396467,43+3,43+1,0.0031622776601683794,1.6743892552761144e-17,35.526831969139785,1.0
0.125,0.1654372948396467,43+3,43+1,0.004216965034285823,2.2304889049165734e-17,47.29289283855892,1.0
0.125,0.1654372948396467,43+3,43+1,0.005623413251903491,2.970244805772704e-17,62.919149430314064,1.0
0.125,0.1654372948396467,43+3,43+1,0.007498942093324558,3.9535116461712556e-17,83.64387390672668,1.0
0.125,0.1654372948396467,43+3,43+1,0.01,5.2590372563746404e-17,111.08093167248413,1.0
0.125,0.1654372948396467,43+3,43+1,0.01333521432163324,6.989956712006651e-17,147.317128460998,1.0
0.125,0.1654372948396467,43+3,43+1,0.01778279410038923,9.280524391929673e-17,195.0218605652391,1.0
0.125,0.1654372948396467,43+3,43+1,0.023713737056616554,1.2304078413313153e-16,257.5595068495374,1.0
0.125,0.1654372948396467,43+3,43+1,0.03162277660168379,1.6281960587818976e-16,339.0837153766029,1.0
0.125,0.1654372948396467,43+3,43+1,0.042169650342858224,2.1492612051224834e-16,444.5743824284927,1.0
0.125,0.1654372948396467,43+3,43+1,0.05623413251903491,2.827921980376879e-16,579.7509563877284,1.0
0.125,0.1654372948396467,43+3,43+1,0.07498942093324558,3.705300464829899e-16,750.7606230633545,1.0
0.125,0.1654372948396467,43+3,43+1,0.1,4.828752389943989e-16,963.5050487775896,1.0
0.125,0.1654372948396467,43+3,43+1,0.1333521432163324,6.249751522734072e-16,1222.4572660699675,1.0
0.125,0.1654372948396467,43+3,43+1,0.1778279410038923,8.019471874885488e-16,1528.8752453934421,1.0
0.125,0.1654372948396467,43+3,43+1,0.23713737056616552,1.0181451464655108e-15,1878.5031459122797,1.0
0.125,0.1654372948396467,43+3,43+1,0.31622776601683794,1.2761348623540678e-15,2259.2106319808563,1.0
0.125,0.1654372948396467,43+3,43+1,0.4216965034285822,1.5755084107164984e-15,2649.498295570946,1.0
0.125,0.1654372948396467,43+3,43+1,0.5623413251903491,1.9118406916689396e-15,3019.1308511354055,1.0
0.125,0.1654372948396467,43+3,43+1,0.7498942093324559,2.276228345592767e-15,3332.8989509226985,1.0
0.125,0.1654372948396467,43+3,43+1,1.0,2.6558138144691934e-15,3557.33810061529,1.0
0.125,0.1654372948396467,43+3,41+1,0.0001,4.616691256541492e-13,57.40410265627843,1.0
0.125,0.1654372948396467,43+3,41+1,0.0001333521432163324,6.156251432630015e-13,76.54534664546654,1.0
0.125,0.1654372948396467,43+3,41+1,0.00017782794100389227,8.209128168355242e-13,102.06729530677796,1.0
0.125,0.1654372948396467,43+3,41+1,0.00023713737056616554,1.0946399242612294e-12,136.09547503222709,1.0
0.125,0.1654372948396467,43+3,41+1,0.00031622776601683794,1.4596103857103007e-12,181.4623179390937,1.0
0.125,0.1654372948396467,43+3,41+1,0.00042169650342858224,1.9462165318424915e-12,241.94137330019956,1.0
0.125,0.1654372948396467,43+3,41+1,0.0005623413251903491,2.594956643468461e-12,322.5584246654003,1.0
0.125,0.1654372948396467,43+3,41+1,0.0007498942093324559,3.4597817722436398e-12,430.00422534560454,1.0
0.125,0.1654372948396467,43+3,41+1,0.001,4.612540385281865e-12,573.18108305264,1.0
0.125,0.1654372948396467,43+3,41+1,0.001333521432163324,6.148872728385787e-12,763.9249936030291,1.0
0.125,0.1654372948396467,43+3,41+1,0.0017782794100389228,8.19601317923382e-12,1017.9566709534159,1.0
0.125,0.1654372948396467,43+3,41+1,0.0023713737056616554,1.0923092309059634e-11,1356.1286329965199,1.0
0.125,0.1654372948396467,43+3,41+1,0.0031622776601683794,1.45546935680973e-11,1806.0509163856157,1.0
0.125,0.1654372948396467,43+3,41+1,0.004216965034285823,1.9388611349365212e-11,2404.193329813363,1.0
0.125,0.1654372948396467,43+3,41+1,0.005623413251903491,2.5818968220221532e-11,3198.573618540794,1.0
0.125,0.1654372948396467,43+3,41+1,0.007498942093324558,3.436605338131938e-11,4252.140895943343,1.0
0.125,0.1654372948396467,43+3,41+1,0.01,4.571438540264501e-11,5646.938027413297,1.0
0.125,0.1654372948396467,43+3,41+1,0.01333521432163324,6.076046993071806e-11,7489.050391191551,1.0
0.125,0.1654372948396467,43+3,41+1,0.01778279410038923,8.067131836289428e-11,9914.180084929369,1.0
0.125,0.1654372948396467,43+3,41+1,0.023713737056616554,1.0695367900821984e-10,13093.359514113115,1.0
0.125,0.1654372948396467,43+3,41+1,0.03162277660168379,1.415315741526684e-10,17237.74457061957,1.0
0.125,0.1654372948396467,43+3,41+1,0.042169650342858224,1.8682536417255463e-10,22600.494507475487,1.0
0.125,0.1654372948396467,43+3,41+1,0.05623413251903491,2.458182153831664e-10,29472.364633272602,1.0
0.125,0.1654372948396467,43+3,41+1,0.07498942093324558,3.220846805687035e-10,38165.85482340821,1.0
0.125,0.1654372948396467,43+3,41+1,0.1,4.1974117506064966e-10,48980.98366323504,1.0
