alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message,truncation,real_frequency_relative_to_max_N,gamma_relative_to_max_N,norm_error
0.4,0.684926173634467,32+2,0.39622887379271227,-7.272778811748144e-19,6.000201228806568,3.862329615084164e-20,0.9999999999999999,-1.4717325777490556e-16,128.65876062141385,3.100706573741942e-13,3.72129323008831e-12,9.120968922522465e-17,True,ok,150,2.80197405605017e-16,0.3257577565539169,1.8435270393503076e-16
0.4,0.684926173634467,32+2,0.39622887379271216,5.988307915716983e-20,6.000201228806568,-3.180190076694664e-21,0.9999999999999997,2.3245150699542064e-17,128.6587606214184,9.192896623057784e-14,3.2719948787411195e-12,9.120968922522465e-17,True,ok,250,0.0,1.0555161963267303,3.338770759242827e-16
0.4,0.684926173634467,32+2,0.39622887379271216,-1.078659618622624e-18,6.000201228806568,5.728400515730994e-20,1.0000000000000002,5.259362636822668e-17,128.65876062141945,8.880098898121735e-14,3.271958604858817e-12,9.120968922522465e-17,True,ok,400,0.0,0.0,2.28188290915362e-16
0.4,0.684926173634467,30+0,0.3926266051633088,-0.004986060185457023,0.0009177331099302647,0.0006121068148729114,0.999999999999496,2.7047808437430376e-13,71.15192105306069,7.413663520460502e-15,5.004999181828476e-10,5.963700404867708e-17,True,ok,150,5.234604166267527e-12,1.5942058953582876e-10,5.72027953017925e-13
0.4,0.684926173634467,30+0,0.39262660516536374,-0.004986060186249734,0.0009177331096792444,0.0006121068149734721,1.00000000000029,-8.135991880209303e-13,71.1519210394247,1.5695271126255574e-14,1.310901754344651e-11,5.963700405695066e-17,True,ok,250,7.069203984263622e-16,4.350672927475574e-13,8.637349050385272e-13
0.4,0.684926173634467,30+0,0.392626605165364,-0.004986060186251903,0.0009177331096792095,0.0006121068149737385,1.0000000000002882,-8.118783423327613e-13,71.1519210393599,5.6502331338020955e-15,1.3109069031399002e-11,4.5720077178545866e-17,True,ok,400,0.0,0.0,8.615182489558716e-13
0.4,0.49569765486450124,43+3,0.3979386728116051,-2.830097588394165e-18,12.000044906177504,6.149440748092549e-20,0.9999999999999998,4.981818717867564e-17,210.66860150047322,3.724168512120767e-12,2.5692680304233407e-12,8.008801537778722e-17,True,ok,150,0.0,1.2618484737753408,2.2756462455769087e-16
0.4,0.49569765486450124,43+3,0.3979386728116051,-1.2442316218953003e-18,12.000044906177504,2.7035564664360955e-20,0.9999999999999999,3.1044217567624537e-16,210.66860150047165,3.879412786458715e-12,2.569376055483423e-12,8.008801537778722e-17,True,ok,250,0.0,0.005594928405365515,3.2969727945901996e-16
0.4,0.49569765486450124,43+3,0.3979386728116051,-1.2512321763404146e-18,12.000044906177504,2.718767777502034e-20,0.9999999999999998,4.725244473684778e-16,210.66860150046585,3.8794357893767176e-12,2.569484082814294e-12,8.008801537778722e-17,True,ok,400,0.0,0.0,5.220949721431902e-16
0.4,0.49569765486450124,43+1,0.3979352943977315,-5.49043059433245e-15,12.000188915170709,5.010607676364e-16,1.0000000000000002,-3.416325441909457e-14,210.31436338269987,9.2314377297209e-13,1.291439535799011e-11,7.491044108097558e-17,True,ok,150,0.0,7.485698138284532e-06,3.416397600266048e-14
