alpha,chi,q,status,residual,discriminant_normalized,omega_res_M,radius_M,radius_over_cloud,eta_M,delta_gamma_M,analytic_q
0.06716163415705019,0.7442833333333333,1.0629941642363527,root_q_gt_1,0.0,0.0,5.692258001592329e-09,399309.47517392976,450.2898252530546,4.959989745654506e-13,9.919979491309012e-13,1.0629941642363532
0.06716163415705019,0.7492777777777778,1.0465948222184638,root_q_gt_1,2.0239821490797856e-16,2.7673519074084636e-16,5.730455372242928e-09,396476.88011368667,447.0955891680382,4.988887669498368e-13,9.977775338996738e-13,1.0465948222184631
0.06716163415705019,0.7542722222222222,1.0306443820210516,root_q_gt_1,0.0,0.0,5.768652742893528e-09,393696.6267536028,443.9603773148106,5.017674725587406e-13,1.0035349451174811e-12,1.030644382021051
0.06716163415705019,0.7592666666666666,1.0151238470444124,root_q_gt_1,2.0009357234230568e-16,1.8031258947373804e-16,5.806850113544128e-09,390967.06141278293,440.88232488492724,5.046348800027924e-13,1.009269760005585e-12,1.0151238470444126
0.06716163415705019,0.7642611111111111,1.0000152459122842,root_q_gt_1,1.9896755160491523e-16,1.7828889202248658e-16,5.845047484194727e-09,388286.6029283294,437.8596488464062,5.074907694938691e-13,1.014981538987738e-12,1.0000152459122835
0.06716163415705019,0.7692555555555556,0.9853015620717881,physical_root,0.0,0.0,5.883244854845329e-09,385653.7384221576,434.8906431700879,5.103349122490407e-13,1.0206698244980813e-12,0.9853015620717882
0.06716163415705019,0.77425,0.9709666689135039,physical_root,1.9676670971931665e-16,1.7436648851179184e-16,5.921442225495928e-09,383067.01935879065,431.97367438412334,5.131670698378142e-13,1.0263341396756287e-12,0.9709666689135047
0.06716163415705019,0.7792444444444444,0.9569952698898835,physical_root,0.0,0.0,5.959639596146526e-09,380525.0578692264,429.1071774285043,5.159869934658485e-13,1.031973986931697e-12,0.9569952698898827
0.06716163415705019,0.7842388888888889,0.9433728431625271,physical_root,0.0,0.0,5.997836966797128e-09,378026.52331822005,426.289651784087,5.187944231873366e-13,1.0375888463746731e-12,0.9433728431625275
0.06716163415705019,0.7892333333333333,0.9300855903546804,physical_root,0.0,0.0,6.036034337447727e-09,375570.139094307,423.51965785279253,5.215890870370763e-13,1.0431781740741526e-12,0.9300855903546805
