x,omega_M,population_211,population_21m1,norm
-10145.083223008582,8.011551847537143e-08,0.9999890236761917,4.5194291783820374e-07,0.9999894756191096
-10145.08321483487,8.011551847729257e-08,0.9999891640473693,3.1091879625804325e-07,0.9999894749661655
-10145.08320666116,8.01155184792137e-08,0.9999889703296367,5.039354050693351e-07,0.9999894742650418
-10145.08319848745,8.011551848113483e-08,0.9999884444392035,1.0284615456629474e-06,0.9999894729007492
-10145.083190313739,8.011551848305597e-08,0.9999875911168322,1.8791487482755372e-06,0.9999894702655805
-10145.083182140028,8.01155184849771e-08,0.9999864178822645,3.047882005465813e-06,0.99998946576427
-10145.083173966317,8.011551848689823e-08,0.9999849349650713,4.523853966039475e-06,0.9999894588190373
-10145.083165792606,8.011551848881936e-08,0.9999831552125598,6.293661914456618e-06,0.9999894488744742
-10145.083157618896,8.01155184907405e-08,0.999981093975562,8.341426668007147e-06,0.9999894354022301
-10145.083149445185,8.011551849266164e-08,0.9999787689731209,1.0648932339034917e-05,0.9999894179054599
-10145.083141271474,8.011551849458278e-08,0.9999762001372622,1.319578573379038e-05,0.999989395922996
-10145.083133097763,8.01155184965039e-08,0.9999734094392116,1.595959399457364e-05,0.9999893690332062
-10145.083124924053,8.011551849842504e-08,0.9999704206985718,1.8916158939078783e-05,0.9999893368575109
-10145.083116750342,8.011551850034617e-08,0.9999672593771137,2.2039686411544622e-05,0.9999892990635253
-10145.083108576631,8.011551850226731e-08,0.9999639523589677,2.53030088356173e-05,0.9999892553678034
-10145.08310040292,8.011551850418843e-08,0.9999605277191103,2.8677819049771938e-05,0.9999892055381601
-10145.08309222921,8.011551850610957e-08,0.9999570144821383,3.213491341362263e-05,0.9999891493955518
-10145.083084055499,8.011551850803071e-08,0.9999534423734051,3.564444209823025e-05,0.9999890868155034
-10145.083075881788,8.011551850995184e-08,0.9999498415646484,3.9176164416204134e-05,0.9999890177290646
-10145.083067708078,8.011551851187297e-08,0.9999462424162864,4.269970700844137e-05,0.9999889421232948
-10145.083059534367,8.01155185137941e-08,0.9999426752185849,4.6184822684054524e-05,0.999988860041269
-10145.083051360656,8.011551851571524e-08,0.9999391699338973,4.960164770854281e-05,0.9999887715816058
-10145.083044821688,8.011551851725214e-08,0.9999364300528076,5.226627033213791e-05,0.9999886963231398
-10145.083036647977,8.011551851917328e-08,0.9999331096984592,5.5487107192150134e-05,0.9999885968056513
-10145.083028474266,8.011551852109442e-08,0.999929931263075,5.856020928667138e-05,0.9999884914723616
-10145.083020300555,8.011551852301555e-08,0.9999269211962246,6.145942424286571e-05,0.9999883806204675
-10145.083012126845,8.011551852493668e-08,0.9999241044652022,6.41601288809548e-05,0.9999882645940832
-10145.083003953134,8.011551852685781e-08,0.9999215043451921,6.66394360314201e-05,0.9999881437812236
-10145.082995779423,8.011551852877895e-08,0.9999191422242285,6.887638619038334e-05,0.9999880186104189
-10145.082987605712,8.011551853070009e-08,0.9999170374245812,7.08521224094031e-05,0.9999878895469906
-10145.082979432002,8.011551853262121e-08,0.9999152070420586,7.255004696162487e-05,0.9999877570890202
